,Store Number,Year,Month,Full Packs Sold,Single Bottles Sold,Sale (Dollars),SMALL,LARGE,CHEAP,MIDPRICE,EXPENSIVE,BRANDY,GIN,OTHER,RUM,SCHNAPPS,SPIRITS,TEQUILA,VODKA,WHISKY
8651,5398,2018,10,12,38,2073.63,18.0,2.0,13.0,6.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,8.0,5.0
8652,5398,2018,11,10,57,1869.8,17.0,5.0,8.0,12.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,7.0
8653,5398,2018,12,7,27,1026.47,10.0,2.0,5.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0
8654,5398,2019,1,5,28,1004.04,12.0,2.0,9.0,5.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,2.0,2.0
8655,5398,2019,2,6,55,1005.8,11.0,3.0,6.0,7.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,5.0
8656,5398,2019,4,11,63,1523.9,15.0,6.0,13.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,10.0,6.0
8657,5398,2019,6,9,64,1276.56,11.0,5.0,9.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,6.0
8658,5398,2019,8,13,39,1207.13,8.0,2.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0
8659,5398,2019,12,17,7,1873.86,8.0,4.0,10.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0
8660,5398,2020,2,29,3,2478.13,13.0,0.0,9.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,4.0
8661,5398,2020,4,30,0,2991.0,11.0,1.0,9.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,5.0
8662,5398,2020,6,16,24,2729.24,11.0,6.0,3.0,12.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,6.0
8663,5398,2020,10,6,0,1048.68,4.0,2.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0
8664,5398,2020,11,25,0,3864.52,17.0,4.0,7.0,9.0,5.0,1.0,1.0,8.0,3.0,0.0,0.0,1.0,3.0,4.0
8665,5398,2020,12,17,0,3084.36,12.0,4.0,2.0,10.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,4.0,3.0
8666,5399,2017,4,10,255,3991.98,54.0,6.0,26.0,30.0,4.0,1.0,2.0,3.0,13.0,4.0,0.0,7.0,13.0,17.0
8667,5399,2017,5,3,93,1418.4,19.0,2.0,9.0,11.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,6.0,7.0
8668,5399,2017,6,7,66,1252.74,15.0,3.0,9.0,9.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,8.0,3.0
8669,5399,2017,7,4,93,1336.86,15.0,2.0,6.0,10.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,5.0
8670,5399,2017,8,4,84,1163.34,16.0,3.0,10.0,9.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,2.0
8671,5399,2017,9,4,97,1097.18,16.0,5.0,12.0,8.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,10.0,3.0
8672,5399,2017,10,5,129,1431.66,21.0,3.0,11.0,13.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,10.0,8.0
8673,5399,2017,11,9,183,2364.33,24.0,10.0,15.0,17.0,2.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,15.0,8.0
8674,5399,2018,1,9,239,3093.82,41.0,8.0,26.0,21.0,2.0,0.0,1.0,5.0,10.0,1.0,0.0,1.0,18.0,13.0
8675,5399,2018,2,7,39,983.1,9.0,2.0,6.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0
8676,5399,2018,3,13,160,2677.7400000000002,34.0,9.0,20.0,22.0,1.0,1.0,1.0,2.0,9.0,1.0,0.0,1.0,18.0,10.0
8677,5399,2018,4,17,187,3367.3,35.0,8.0,20.0,22.0,1.0,0.0,0.0,5.0,9.0,1.0,0.0,1.0,14.0,13.0
8678,5399,2018,5,12,164,2595.49,26.0,7.0,13.0,19.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,11.0,12.0
8679,5399,2018,6,19,275,4606.43,50.0,8.0,29.0,27.0,2.0,1.0,1.0,5.0,9.0,0.0,0.0,2.0,21.0,19.0
8680,5399,2018,7,7,112,1766.39,22.0,4.0,10.0,16.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,10.0,9.0
8681,5399,2018,8,27,215,5119.7,48.0,11.0,26.0,31.0,2.0,0.0,2.0,6.0,8.0,2.0,0.0,1.0,22.0,18.0
8682,5399,2018,9,9,56,1322.07,14.0,5.0,8.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,9.0
8683,5399,2018,10,15,54,2010.42,18.0,4.0,10.0,12.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,9.0,6.0
8684,5399,2018,11,19,125,2860.56,30.0,10.0,18.0,21.0,1.0,0.0,1.0,2.0,7.0,1.0,0.0,1.0,15.0,13.0
8685,5399,2018,12,22,222,4276.85,45.0,9.0,23.0,30.0,1.0,1.0,0.0,7.0,5.0,2.0,0.0,1.0,17.0,21.0
8686,5399,2019,1,20,176,3732.05,41.0,8.0,19.0,27.0,3.0,1.0,1.0,5.0,8.0,2.0,0.0,2.0,15.0,15.0
8687,5399,2019,2,22,176,3823.16,37.0,9.0,22.0,21.0,3.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,13.0,15.0
8688,5399,2019,3,11,75,1652.1,19.0,4.0,10.0,12.0,1.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,6.0
8689,5399,2019,4,20,201,4186.59,48.0,11.0,25.0,31.0,3.0,1.0,0.0,6.0,10.0,2.0,0.0,4.0,17.0,19.0
8690,5399,2019,5,19,55,2400.6,16.0,7.0,10.0,11.0,2.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,5.0,5.0
8691,5399,2019,6,11,212,3215.88,36.0,5.0,20.0,18.0,3.0,0.0,0.0,4.0,10.0,0.0,0.0,4.0,12.0,11.0
8692,5399,2019,7,17,164,3445.85,39.0,8.0,20.0,25.0,2.0,1.0,0.0,5.0,8.0,0.0,0.0,1.0,17.0,15.0
8693,5399,2019,8,6,110,1356.32,18.0,5.0,15.0,7.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,9.0,6.0
8694,5399,2019,9,16,266,4139.45,54.0,8.0,32.0,28.0,2.0,0.0,1.0,6.0,7.0,3.0,0.0,3.0,23.0,19.0
8695,5399,2019,10,13,73,1924.57,17.0,5.0,8.0,12.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,8.0,5.0
8696,5399,2019,11,21,193,4162.39,45.0,6.0,24.0,23.0,4.0,1.0,0.0,9.0,8.0,2.0,0.0,1.0,14.0,16.0
8697,5399,2019,12,19,182,3724.34,44.0,4.0,24.0,21.0,3.0,1.0,0.0,9.0,10.0,4.0,0.0,3.0,8.0,13.0
8698,5399,2020,1,15,96,2253.55,25.0,5.0,13.0,16.0,1.0,0.0,1.0,4.0,7.0,1.0,0.0,0.0,11.0,6.0
8699,5399,2020,2,13,84,2049.07,20.0,5.0,11.0,13.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,10.0,6.0
8700,5399,2020,3,15,83,2324.17,20.0,6.0,9.0,15.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,9.0,6.0
8701,5399,2020,4,31,154,4684.65,41.0,7.0,16.0,27.0,5.0,0.0,2.0,4.0,8.0,2.0,0.0,2.0,14.0,16.0
8702,5399,2020,5,21,155,3947.7,40.0,7.0,14.0,28.0,5.0,0.0,2.0,4.0,8.0,2.0,0.0,2.0,13.0,16.0
8703,5399,2020,6,71,74,10404.76,85.0,9.0,43.0,48.0,3.0,1.0,0.0,11.0,15.0,0.0,1.0,5.0,26.0,35.0
8704,5399,2020,7,14,0,1613.44,9.0,1.0,5.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0
8705,5399,2020,8,30,10,4182.45,22.0,5.0,11.0,13.0,3.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,10.0,2.0
8706,5399,2020,10,31,234,5987.64,50.0,14.0,23.0,36.0,5.0,1.0,1.0,10.0,13.0,0.0,0.0,4.0,18.0,17.0
8707,5399,2020,11,109,0,16328.14,72.0,7.0,32.0,41.0,6.0,1.0,2.0,10.0,23.0,4.0,0.0,6.0,10.0,23.0
8708,5406,2017,5,12,260,4557.05,60.0,5.0,26.0,36.0,3.0,2.0,2.0,8.0,14.0,3.0,0.0,4.0,12.0,20.0
8709,5406,2017,6,9,9,1448.09,8.0,2.0,2.0,6.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0
8710,5406,2017,7,14,104,3079.7200000000003,25.0,1.0,17.0,8.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,7.0,7.0
8711,5406,2017,8,7,36,1125.3600000000001,11.0,2.0,5.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,3.0
8712,5406,2017,9,11,3,1137.06,6.0,2.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0
8713,5406,2017,10,15,82,2682.44,20.0,6.0,9.0,14.0,3.0,2.0,1.0,4.0,6.0,1.0,0.0,1.0,4.0,7.0
8714,5406,2017,11,7,57,1346.03,13.0,2.0,8.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,5.0
8715,5406,2017,12,7,48,1119.18,12.0,1.0,7.0,5.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0
8716,5406,2018,1,21,113,3256.26,27.0,6.0,19.0,12.0,2.0,1.0,1.0,6.0,4.0,1.0,0.0,1.0,11.0,8.0
8717,5406,2018,2,9,30,1568.04,9.0,1.0,5.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0
8718,5406,2018,3,15,56,2080.96,20.0,1.0,11.0,9.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,10.0,2.0
8719,5406,2018,4,10,0,1033.44,7.0,2.0,5.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0
8720,5406,2018,5,8,39,1182.42,10.0,1.0,3.0,7.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0
8721,5406,2018,6,16,72,2436.06,19.0,2.0,11.0,9.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,6.0,7.0
8722,5406,2018,7,17,60,2475.54,21.0,2.0,12.0,10.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,7.0,7.0
8723,5406,2018,8,8,39,1308.15,11.0,2.0,5.0,5.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,5.0,2.0
8724,5406,2018,9,18,21,2148.12,15.0,4.0,9.0,9.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,8.0,3.0
8725,5406,2018,10,18,54,2788.14,19.0,3.0,11.0,10.0,1.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,8.0
8726,5406,2018,11,9,36,1336.76,11.0,2.0,5.0,7.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,1.0
8727,5406,2018,12,10,0,1148.4,5.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0
8728,5406,2019,1,20,6,2487.18,16.0,3.0,9.0,8.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,7.0
8729,5406,2019,2,10,0,1159.44,6.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0
8730,5406,2019,3,21,1,2394.56,15.0,5.0,8.0,10.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,6.0,4.0
8731,5406,2019,4,9,18,1335.3,8.0,3.0,2.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0
8732,5406,2019,5,23,0,2530.56,17.0,4.0,12.0,6.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,6.0,4.0
8733,5406,2019,6,12,4,1037.9,6.0,3.0,3.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0
8734,5406,2019,7,10,0,1012.08,8.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0
8735,5406,2019,8,22,31,2552.33,23.0,2.0,14.0,10.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,7.0,8.0
8736,5406,2019,9,22,0,2607.36,18.0,2.0,7.0,10.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,3.0
8737,5406,2019,10,18,12,2556.44,17.0,0.0,8.0,9.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,5.0
8738,5406,2019,12,26,6,2464.88,18.0,3.0,11.0,8.0,2.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,7.0,5.0
8739,5406,2020,1,10,21,1307.52,10.0,1.0,4.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0
8740,5406,2020,2,17,21,2016.21,16.0,3.0,9.0,8.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,6.0,6.0
8741,5406,2020,3,11,0,1007.52,7.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0
8742,5406,2020,4,18,34,2215.7599999999998,13.0,2.0,6.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0
